,nfolds,max_iterations,early_stopping,alpha,lambda,validation_frame,training_frame,model_id,runtime
actual,5,300,True,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]","[17632.594052322154, 10950.13963598844, 6800.222230027118, 4223.053213474455, 2622.5875920772382, 1628.6713262745604, 1011.4324863895012, 628.1167096273864, 390.07111816378944, 242.24077292229845, 150.43562400165396, 93.42307116905594, 58.01730995952483, 36.02973240783895, 22.375074237087432, 13.895300177312702, 8.629216822780007, 5.358889842202057, 3.327961381738074, 2.066720400020194, 1.2834683825654452, 0.7970556099553011, 0.49498503741195404, 0.307394094215652, 0.190896940345331, 0.118550234109713, 0.073621703847342, 0.045720325380123, 0.028393096649851002, 0.017632594052322002]",,automl_training_hour2.hex,GLM_grid_1_AutoML_20190419_001144_model_1,1350
actual,5,300,True,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]","[17632.594052322154, 10950.13963598844, 6800.222230027118, 4223.053213474455, 2622.5875920772382, 1628.6713262745604, 1011.4324863895012, 628.1167096273864, 390.07111816378944, 242.24077292229845, 150.43562400165396, 93.42307116905594, 58.01730995952483, 36.02973240783895, 22.375074237087432, 13.895300177312702, 8.629216822780007, 5.358889842202057, 3.327961381738074, 2.066720400020194, 1.2834683825654452, 0.7970556099553011, 0.49498503741195404, 0.307394094215652, 0.190896940345331, 0.118550234109713, 0.073621703847342, 0.045720325380123, 0.028393096649851002, 0.017632594052322002]",,automl_training_hour3.hex,GLM_grid_1_AutoML_20190419_015759_model_1,1350
actual,5,300,True,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]","[17632.594052322154, 10950.13963598844, 6800.222230027118, 4223.053213474455, 2622.5875920772382, 1628.6713262745604, 1011.4324863895012, 628.1167096273864, 390.07111816378944, 242.24077292229845, 150.43562400165396, 93.42307116905594, 58.01730995952483, 36.02973240783895, 22.375074237087432, 13.895300177312702, 8.629216822780007, 5.358889842202057, 3.327961381738074, 2.066720400020194, 1.2834683825654452, 0.7970556099553011, 0.49498503741195404, 0.307394094215652, 0.190896940345331, 0.118550234109713, 0.073621703847342, 0.045720325380123, 0.028393096649851002, 0.017632594052322002]",,automl_training_hour.hex,GLM_grid_1_AutoML_20190418_170819_model_1,1350
actual,5,300,True,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]","[17632.594052322154, 10950.13963598844, 6800.222230027118]",,automl_training_hour1.hex,GLM_grid_1_AutoML_20190418_233434_model_1,1350
actual,5,300,True,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]","[17632.594052322154, 10950.13963598844, 6800.222230027118]",,automl_training_hour.hex,GLM_grid_1_AutoML_20190418_165441_model_1,1350
