,nfolds,balance_classes,rate,loss,validation_frame,training_frame,model_id,runtime
actual,5,FALSE,0.005,Automatic,,automl_training_hour3.hex,DeepLearning_1_AutoML_20190419_015759,1350
actual,5,FALSE,0.005,Automatic,,automl_training_hour2.hex,DeepLearning_1_AutoML_20190419_001144,1350
