,nfolds,ntrees,max_depth,max_leaves,booster,reg_alpha,validation_frame,training_frame,model_id,runtime
actual,5,83,5,0,gbtree,0,,automl_training_hour1.hex,XGBoost_1_AutoML_20190418_233434,1850
actual,5,309,5,0,gbtree,0,,automl_training_hour6.hex,XGBoost_3_AutoML_20190419_030035,1850
actual,5,298,5,0,gbtree,0,,automl_training_hour2.hex,XGBoost_1_AutoML_20190419_001144,1850
actual,5,83,5,0,gbtree,0,,automl_training_hour1.hex,XGBoost_2_AutoML_20190418_233434,1850
actual,5,154,5,0,gbtree,0,,automl_training_hour.hex,XGBoost_3_AutoML_20190418_165441,1850
actual,5,154,5,0,gbtree,0,,automl_training_hour.hex,XGBoost_2_AutoML_20190418_165441,1850
actual,5,461,5,0,gbtree,0.01,,automl_training_hour6.hex,XGBoost_grid_1_AutoML_20190419_030035_model_2,1850
actual,5,302,5,0,gbtree,0,,automl_training_hour3.hex,XGBoost_2_AutoML_20190419_015759,1850
actual,5,298,5,0,gbtree,0,,automl_training_hour2.hex,XGBoost_3_AutoML_20190419_001144,1850
actual,5,309,5,0,gbtree,0,,automl_training_hour6.hex,XGBoost_1_AutoML_20190419_030035,1850
actual,5,303,5,0,gbtree,0,,automl_training_hour4.hex,XGBoost_3_AutoML_20190419_022821,1850
actual,5,154,5,0,gbtree,0,,automl_training_hour.hex,XGBoost_1_AutoML_20190418_165441,1850
actual,5,147,5,0,gbtree,0,,automl_training_hour.hex,XGBoost_1_AutoML_20190418_170819,1850
actual,5,302,5,0,gbtree,0,,automl_training_hour3.hex,XGBoost_3_AutoML_20190419_015759,1850
actual,5,303,5,0,gbtree,0,,automl_training_hour4.hex,XGBoost_2_AutoML_20190419_022821,1850
actual,5,147,5,0,gbtree,0,,automl_training_hour.hex,XGBoost_3_AutoML_20190418_170819,1850
actual,5,123,15,0,dart,0.01,,automl_training_hour6.hex,XGBoost_grid_1_AutoML_20190419_030035_model_1,1850
actual,5,303,5,0,gbtree,0,,automl_training_hour4.hex,XGBoost_1_AutoML_20190419_022821,1850
actual,5,309,5,0,gbtree,0,,automl_training_hour6.hex,XGBoost_2_AutoML_20190419_030035,1850
actual,5,302,5,0,gbtree,0,,automl_training_hour3.hex,XGBoost_1_AutoML_20190419_015759,1850
actual,5,298,5,0,gbtree,0,,automl_training_hour2.hex,XGBoost_2_AutoML_20190419_001144,1850
actual,5,147,5,0,gbtree,0,,automl_training_hour.hex,XGBoost_2_AutoML_20190418_170819,1850
actual,5,83,5,0,gbtree,0,,automl_training_hour1.hex,XGBoost_3_AutoML_20190418_233434,1850
actual,5,66,15,0,gbtree,0.5,,automl_training_hour4.hex,XGBoost_grid_1_AutoML_20190419_022821_model_1,1850
actual,5,57,20,0,dart,0.5,,automl_training_hour6.hex,XGBoost_grid_1_AutoML_20190419_030035_model_3,1850
actual,5,53,15,0,gbtree,0.5,,automl_training_hour3.hex,XGBoost_grid_1_AutoML_20190419_015759_model_1,1850
actual,5,19,20,0,gbtree,0.001,,automl_training_hour6.hex,XGBoost_grid_1_AutoML_20190419_030035_model_4,1850
actual,5,2,15,0,gbtree,1,,automl_training_hour3.hex,XGBoost_grid_1_AutoML_20190419_015759_model_2,1850
